# 造序注音 builtin lexicon
# 由本專案人工建立與維護；等級為人工判斷的常用程度（5 最常用），不是語料統計。
# 欄位：詞<TAB>等級<TAB>讀音（選填，音節以空白分隔；多音字必填）
怎麼	4	ㄗㄣˇ ㄇㄜ˙
為什麼	4	ㄨㄟˋ ㄕㄣˊ ㄇㄜ˙
這裡	4	ㄓㄜˋ ㄌㄧˇ
那裡	4	ㄋㄚˋ ㄌㄧˇ
哪裡	4	ㄋㄚˇ ㄌㄧˇ
這個	5	ㄓㄜˋ ㄍㄜ˙
那個	4	ㄋㄚˋ ㄍㄜ˙
一個	5	ㄧˊ ㄍㄜ˙
次	3	ㄘˋ
裡	4	ㄌㄧˇ
難	4	ㄋㄢˊ
歌	3	ㄍㄜ
於	4	ㄩˊ
品	3	ㄆㄧㄣˇ
完	4	ㄨㄢˊ
一次	4	ㄧˊ ㄘˋ
家裡	4	ㄐㄧㄚ ㄌㄧˇ
承諾	3	ㄔㄥˊ ㄋㄨㄛˋ
所有	4	ㄙㄨㄛˇ ㄧㄡˇ
情況	4	ㄑㄧㄥˊ ㄎㄨㄤˋ
社會	4	ㄕㄜˋ ㄏㄨㄟˋ
車禍	3	ㄔㄜ ㄏㄨㄛˋ
玩笑	3	ㄨㄢˊ ㄒㄧㄠˋ
開玩笑	3	ㄎㄞ ㄨㄢˊ ㄒㄧㄠˋ
下來	3	ㄒㄧㄚˋ ㄌㄞˊ
得	4	ㄉㄜ˙
地	3	ㄉㄜ˙
地	4	ㄉㄧˋ
笑	4	ㄒㄧㄠˋ
飯	4	ㄈㄢˋ
晚	4	ㄨㄢˇ
點	4	ㄉㄧㄢˇ
牠	2	ㄊㄚ
漂亮	3	ㄆㄧㄠˋ ㄌㄧㄤˋ
台灣	4	ㄊㄞˊ ㄨㄢ
臺灣	4	ㄊㄞˊ ㄨㄢ
臺北	3	ㄊㄞˊ ㄅㄟˇ
大學	4	ㄉㄚˋ ㄒㄩㄝˊ
睡覺	4	ㄕㄨㄟˋ ㄐㄧㄠˋ
吃飯	4	ㄔ ㄈㄢˋ
作家	3	ㄗㄨㄛˋ ㄐㄧㄚ
